example,plain_example,type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type
<example><marker>The information</marker> in your files is correct.</example>,The information in your files is correct.,group,2,GRAMMAR,Grammar,grammar,A_UNCOUNTABLE,Articles: a + uncountable noun,
<example>Knowledge is power.</example>,Knowledge is power.,group,3,GRAMMAR,Grammar,grammar,A_UNCOUNTABLE,Articles: a + uncountable noun,
<example><marker>The information</marker> in your files is correct.</example>,The information in your files is correct.,group,4,GRAMMAR,Grammar,grammar,A_UNCOUNTABLE,Articles: a + uncountable noun,
<example>A very little knowledge of accounting was necessary for the job.</example>,A very little knowledge of accounting was necessary for the job.,group,5,GRAMMAR,Grammar,grammar,A_UNCOUNTABLE,Articles: a + uncountable noun,
"<example correction=""Most of the students|Most students""><marker>Most of students</marker> do their homework.</example>",Most of students do their homework.,single,,GRAMMAR,Grammar,grammar,MOST_SOME_OF_NNS,Articles: 'most/some of' + plural noun,
"<example correction=""had breakfast"">We <marker>had a breakfast</marker> in the hotel restaurant.</example>",We had a breakfast in the hotel restaurant.,group,0,GRAMMAR,Grammar,grammar,HAVE_A_BREAKFAST,Articles before nouns used normally without them,
"<example correction=""to dinner"">Ray and Helen have invited us out <marker>to a dinner</marker> in the hotel restaurant.</example>",Ray and Helen have invited us out to a dinner in the hotel restaurant.,group,1,GRAMMAR,Grammar,grammar,HAVE_A_BREAKFAST,Articles before nouns used normally without them,
"<example correction=""for dinner"">Ray and Helen went with us <marker>for a dinner</marker> in the hotel restaurant.</example>",Ray and Helen went with us for a dinner in the hotel restaurant.,group,2,GRAMMAR,Grammar,grammar,HAVE_A_BREAKFAST,Articles before nouns used normally without them,
,,group,0,GRAMMAR,Grammar,grammar,IN_1990s,Missing definite article in the date,
"<example correction=""in the 1990s"">It happened <marker>in 1990s</marker>.</example>",It happened in 1990s.,group,1,GRAMMAR,Grammar,grammar,IN_1990s,Missing definite article in the date,
"<example correction=""in the 1990's"">It happened <marker>in 1990's</marker>.</example>",It happened in 1990's.,group,2,GRAMMAR,Grammar,grammar,IN_1990s,Missing definite article in the date,
"<example correction=""in the past"">Something happened <marker>in past</marker>.</example>",Something happened in past.,single,,GRAMMAR,Grammar,grammar,IN_PAST,Missing definite article referring to a time period,
"<example correction=""a friend|the friend"">He is <marker>friend</marker>.</example>",He is friend.,group,0,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a lot|the lot"">He does <marker>lot</marker> of things.</example>",He does lot of things.,group,1,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
<example>He takes his brother to school.</example>,He takes his brother to school.,group,2,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
<example>He gives his brother a bar of chocolate.</example>,He gives his brother a bar of chocolate.,group,3,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a step|the step"">He goes <marker>step</marker> too far.</example>",He goes step too far.,group,4,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a tad|the tad"">It falls <marker>tad</marker>.</example>",It falls tad.,group,5,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a good friend|the good friend"">He is <marker>good friend</marker>.</example>",He is good friend.,group,6,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""experienced a problem|experienced the problem"">Recently I have <marker>experienced problem</marker>.</example>",Recently I have experienced problem.,group,7,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""experienced a serious problem|experienced the serious problem"">Recently I have <marker>experienced serious problem</marker>.</example>",Recently I have experienced serious problem.,group,8,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""an experienced soldier|the experienced soldier"">He is <marker>experienced soldier</marker>.</example>",He is experienced soldier.,group,9,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""an extremely experienced soldier|the extremely experienced soldier"">He is <marker>extremely experienced soldier</marker>.</example>",He is extremely experienced soldier.,group,10,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""an airport|the airport"">He was waiting at <marker>airport</marker>.</example>",He was waiting at airport.,group,11,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a new airport|the new airport"">He was waiting at <marker>new airport</marker>.</example>",He was waiting at new airport.,group,12,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a river|the river"">He was waiting by <marker>river</marker>.</example>",He was waiting by river.,group,13,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a small river|the small river"">He was waiting by <marker>small river</marker>.</example>",He was waiting by small river.,group,14,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""an answer|the answer"">He was waiting for <marker>answer</marker>.</example>",He was waiting for answer.,group,15,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a swift answer|the swift answer"">He was waiting for <marker>swift answer</marker>.</example>",He was waiting for swift answer.,group,16,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a kitchen|the kitchen"">The dog spent all day in <marker>kitchen</marker>.</example>",The dog spent all day in kitchen.,group,17,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a lobby|the lobby"">He was waiting in <marker>lobby</marker>.</example>",He was waiting in lobby.,group,18,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a large lobby|the large lobby"">He was waiting in <marker>large lobby</marker>.</example>",He was waiting in large lobby.,group,19,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a covenant|the covenant"">ACET would not be able to reclaim tax on <marker>covenant</marker>.</example>",ACET would not be able to reclaim tax on covenant.,group,20,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a previous page|the previous page"">This remark is on <marker>previous page</marker>.</example>",This remark is on previous page.,group,21,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a week|the week"">Change your filter after <marker>week</marker>.</example>",Change your filter after week.,group,22,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a friend|the friend"">He is talking about <marker>friend</marker>.</example>",He is talking about friend.,group,23,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a good friend|the good friend"">He is talking about <marker>good friend</marker>.</example>",He is talking about good friend.,group,24,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a month|the month"">About <marker>month</marker> before I left it was discussed...</example>",About month before I left it was discussed...,group,25,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a large boat|the large boat"">About <marker>large boat</marker>.</example>",About large boat.,group,26,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a friend"">He is talking of such <marker>friend</marker>.</example>",He is talking of such friend.,group,27,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
"<example correction=""a good friend"">He is talking of such <marker>good friend</marker>.</example>",He is talking of such good friend.,group,28,GRAMMAR,Grammar,grammar,ARTICLE_MISSING,Articles: article missing before a countable noun,
,,group,0,GRAMMAR,Grammar,grammar,ALLOW_TO,'allow' + 'to' + infinitive,
"<example correction=""seeing"">It allows <marker>to see</marker> better.</example>",It allows to see better.,group,1,GRAMMAR,Grammar,grammar,ALLOW_TO,'allow' + 'to' + infinitive,
"<example correction=""seeing"">It allowed <marker>to see</marker> better.</example>",It allowed to see better.,group,2,GRAMMAR,Grammar,grammar,ALLOW_TO,'allow' + 'to' + infinitive,
"<example correction=""to spend"">We cannot afford <marker>spending</marker> the whole month in the Alps.</example>",We cannot afford spending the whole month in the Alps.,group,0,GRAMMAR,Grammar,grammar,AFFORD_VBG,"'afford', 'choose', 'deserve', 'pretend', 'learn', 'strive' and 'struggle' used with gerund instead of infinitive",
"<example correction=""to spend"">We cannot afford not <marker>spending</marker> the whole month in the Alps.</example>",We cannot afford not spending the whole month in the Alps.,group,1,GRAMMAR,Grammar,grammar,AFFORD_VBG,"'afford', 'choose', 'deserve', 'pretend', 'learn', 'strive' and 'struggle' used with gerund instead of infinitive",
,,group,0,GRAMMAR,Grammar,grammar,ADMIT_ENJOY_VB,"'admit', 'appreciate', 'avoid', 'enjoy' etc. with a base form of a verb",
"<example correction=""enjoy running"">I <marker>enjoy to run</marker>.</example>",I enjoy to run.,group,1,GRAMMAR,Grammar,grammar,ADMIT_ENJOY_VB,"'admit', 'appreciate', 'avoid', 'enjoy' etc. with a base form of a verb",
"<example correction=""regret reading"">I <marker>regret to read</marker> this book.</example>",I regret to read this book.,group,2,GRAMMAR,Grammar,grammar,ADMIT_ENJOY_VB,"'admit', 'appreciate', 'avoid', 'enjoy' etc. with a base form of a verb",
"<example correction=""consider running"">I <marker>consider to run</marker> my favourite sport.</example>",I consider to run my favourite sport.,group,3,GRAMMAR,Grammar,grammar,ADMIT_ENJOY_VB,"'admit', 'appreciate', 'avoid', 'enjoy' etc. with a base form of a verb",
"<example correction=""accustomed to running"">I am <marker>accustomed to run</marker>.</example>",I am accustomed to run.,group,4,GRAMMAR,Grammar,grammar,ADMIT_ENJOY_VB,"'admit', 'appreciate', 'avoid', 'enjoy' etc. with a base form of a verb",
"<example correction=""used to running"">I am <marker>used to run</marker>. I run every day for 30 minutes.</example>",I am used to run. I run every day for 30 minutes.,group,5,GRAMMAR,Grammar,grammar,ADMIT_ENJOY_VB,"'admit', 'appreciate', 'avoid', 'enjoy' etc. with a base form of a verb",
"<example correction=""used to running"">I'm <marker>used to run</marker>. I run every day for 30 minutes.</example>",I'm used to run. I run every day for 30 minutes.,group,6,GRAMMAR,Grammar,grammar,ADMIT_ENJOY_VB,"'admit', 'appreciate', 'avoid', 'enjoy' etc. with a base form of a verb",
"<example correction=""to seeing"">I look forward <marker>to see</marker> you.</example>",I look forward to see you.,group,7,GRAMMAR,Grammar,grammar,ADMIT_ENJOY_VB,"'admit', 'appreciate', 'avoid', 'enjoy' etc. with a base form of a verb",
<example>He reminded to stay calm.</example>,He reminded to stay calm.,group,0,GRAMMAR,Grammar,grammar,ADVISE_VBG,"'advise', 'help' and 'remind' used with gerund instead of infinitive",
"<example correction=""to stay"">He advised not <marker>staying</marker> calm.</example>",He advised not staying calm.,group,1,GRAMMAR,Grammar,grammar,ADVISE_VBG,"'advise', 'help' and 'remind' used with gerund instead of infinitive",
<example>He helped us to get on the bus.</example>,He helped us to get on the bus.,group,2,GRAMMAR,Grammar,grammar,ADVISE_VBG,"'advise', 'help' and 'remind' used with gerund instead of infinitive",
